term_str,weight
blind,-2.0
block,1.0
blockbuster,-1.0
blocks,2.0
blocky,-1.0
blood,3.0
bloody,0.0
bloom,0.0
blooming,0.0
blossom,-1.0
blossoming,0.0
blossoms,5.0
blossomy,0.0
blow,1.0
blown,-7.0
blows,-1.0
blowsy,1.0
blue,5.0
blueberries,5.0
blueberry,5.0
blunt,1.0
blush,0.0
boar,0.0
board,-5.0
boast,0.0
boasting,1.0
boasts,-1.0
bob,0.0
bobal,0.0
bodes,2.0
bodied,-1.0
body,-1.0
bogged,-1.0
boggling,1.0
boiled,0.0
bois,0.0
boisterous,2.0
bold,7.0
bolder,0.0
boldest,0.0
boldly,1.0
boldness,0.0
bolgheri,0.0
bolster,0.0
bolstered,-1.0
bolt,-1.0
bomb,5.0
bombastic,0.0
bon,0.0
bonarda,-1.0
bone,4.0
boned,1.0
bones,2.0
bonny,0.0
book,-3.0
bookwalter,0.0
boost,-3.0
boosted,2.0
boosting,0.0
boosts,1.0
boot,-4.0
boozy,0.0
bordeaux,4.0
border,-1.0
bordering,-1.0
borderline,0.0
borders,-1.0
bore,0.0
borges,0.0
boring,0.0
born,1.0
bortoli,0.0
bosc,3.0
boschis,0.0
botanical,1.0
botrytis,9.0
botrytised,8.0
botrytized,1.0
bottle,-1.0
bottled,3.0
bottles,0.0
bottling,8.0
bottlings,0.0
bottom,0.0
bouchard,3.0
bought,-2.0
bougros,0.0
bounce,2.0
bounces,0.0
bouncy,-1.0
bound,1.0
boundless,0.0
bounds,0.0
bountiful,0.0
bounty,0.0
bouquet,-2.0
bourbon,-2.0
bourboulenc,0.0
bourgeois,0.0
bouscassé,0.0
bouschet,1.0
boushey,0.0
boutique,0.0
bower,0.0
bowker,0.0
bowl,-1.0
box,2.0
boxed,0.0
boxwood,0.0
boy,0.0
boysenberries,-1.0
boysenberry,9.0
braced,0.0
brachetto,0.0
bracing,6.0
bracingly,2.0
bradley,0.0
brain,0.0
braised,1.0
bramble,0.0
brambleberry,0.0
brambly,1.0
bramley,0.0
brand,3.0
branded,0.0
brandied,3.0
brands,0.0
brandy,1.0
brash,0.0
braucol,0.0
bravo,0.0
brawn,-3.0
brawniness,0.0
brawny,2.0
brazil,0.0
bread,2.0
breadth,1.0
bready,1.0
break,0.0
breakfast,0.0
breaking,-1.0
breaks,0.0
breath,0.0
breathe,2.0
breathes,0.0
breathing,3.0
breathlessly,0.0
breathtaking,0.0
breed,1.0
breeding,0.0
breeze,2.0
breezy,1.0
bresaola,0.0
brew,0.0
brewer,1.0
brian,1.0
briar,-1.0
briary,0.0
bricco,0.0
brick,-1.0
bricked,0.0
bricking,-2.0
bridge,0.0
brie,1.0
brief,0.0
briefly,0.0
bright,2.0
brighten,0.0
brightened,4.0
brightening,2.0
brightens,2.0
brighter,-3.0
brightest,0.0
brightly,-3.0
brightness,5.0
brilliance,1.0
brilliant,6.0
brilliantly,2.0
brim,2.0
brimming,-1.0
brims,3.0
brimstone,0.0
brine,0.0
briney,-1.0
bring,2.0
bringing,0.0
brings,4.0
briny,-2.0
brioche,6.0
brion,3.0
bris,0.0
brisk,0.0
briskly,-1.0
briskness,0.0
bristles,0.0
bristling,-1.0
brittle,0.0
brix,0.0
broad,1.0
broaden,0.0
broadened,1.0
broadening,0.0
broadens,2.0
broader,0.0
broadly,3.0
broccoli,0.0
broiled,-1.0
broken,0.0
brooder,0.0
brooding,9.0
broodingly,0.0
broods,0.0
broom,0.0
brosseau,1.0
broth,-1.0
brother,1.0
brotherhood,0.0
brothers,0.0
brought,0.0
brown,5.0
browned,-2.0
brownie,0.0
browning,0.0
brownish,-1.0
bruce,0.0
bruised,-2.0
bruiser,1.0
bruising,0.0
brulée,0.0
brumont,0.0
brunate,1.0
brunch,0.0
brunello,5.0
brunellos,0.0
bruno,0.0
brush,-1.0
brushed,0.0
brushy,1.0
brusque,0.0
brut,0.0
brutal,0.0
brutally,0.0
bryan,1.0
brûlée,4.0
bründlmayer,0.0
bubble,-1.0
bubblegum,0.0
bubbles,-1.0
bubblies,1.0
bubbling,1.0
bubbly,0.0
bucher,1.0
buck,0.0
buckler,0.0
bucks,0.0
bud,0.0
budget,0.0
buds,0.0
buffer,0.0
buffered,0.0
bug,0.0
build,4.0
building,0.0
builds,1.0
built,8.0
bulgarian,0.0
bulky,-2.0
bull,0.0
bullish,0.0
bumpy,-1.0
bun,0.0
bunch,0.0
bundle,1.0
bundled,0.0
bundles,0.0
buoy,0.0
buoyancy,0.0
buoyant,4.0
buoyantly,0.0
buoyed,4.0
buoys,2.0
burger,-5.0
burgers,-5.0
burgundian,-1.0
burgundy,4.0
buried,-3.0
burly,-2.0
burn,-3.0
burned,-2.0
burning,0.0
burnished,0.0
burns,0.0
burnt,-6.0
burst,1.0
bursting,6.0
bursts,5.0
burying,0.0
bush,0.0
business,-1.0
butt,0.0
butter,3.0
buttercream,0.0
buttercup,0.0
buttered,-2.0
butterscotch,0.0
butterscotchy,-4.0
buttery,1.0
button,-2.0
buttressed,0.0
buy,-1.0
bélair,1.0
cab,1.0
cabbage,0.0
cabernet,4.0
cabernets,3.0
cabinet,0.0
cabral,0.0
cabs,3.0
cacao,1.0
cactus,1.0
cafayate,1.0
café,1.0
cahors,-2.0
cailloux,0.0
cake,7.0
cakes,1.0
calera,1.0
caliber,0.0
calibrated,0.0
california,2.0
californian,0.0
calistoga,0.0
call,0.0
called,1.0
calling,0.0
calls,-1.0
calm,-2.0
cambria,1.0
came,-5.0
campania,0.0
campfire,-4.0
camphor,1.0
canadian,0.0
canaiolo,1.0
candidate,-1.0
candied,-2.0
candies,0.0
candle,0.0
candy,1.0
cane,0.0
cannabis,1.0
canned,0.0
cannot,0.0
cannubi,0.0
cantaloupe,0.0
canteloupe,0.0
cantenac,1.0
canvas,0.0
canyon,0.0
cap,2.0
capable,-1.0
caper,1.0
capped,1.0
cappuccino,2.0
cappuccio,0.0
caps,1.0
captivate,0.0
captivates,3.0
captivating,5.0
capture,1.0
captured,0.0
captures,0.0
capturing,0.0
car,0.0
carafe,0.0
caramel,4.0
caramelized,6.0
caramelly,-3.0
carbon,1.0
carbonation,0.0
carbonic,0.0
card,0.0
cardamom,3.0
cardamon,1.0
cardboard,-2.0
cardinale,2.0
care,-1.0
careful,0.0
carefully,-1.0
cares,0.0
caress,1.0
caressed,0.0
caresses,0.0
carignan,1.0
carignane,2.0
carl,0.0
carlo,0.0
carmel,0.0
carmenère,1.0
carnation,0.0
carneros,-1.0
carob,0.0
carolina,0.0
carpaccio,0.0
carpet,2.0
carried,0.0
carries,0.0
carry,-1.0
carrying,0.0
carter,2.0
casa,0.0
casablanca,-1.0
cascade,0.0
cascading,0.0
cascina,0.0
case,1.0
cases,7.0
casey,0.0
cashew,2.0
cashews,2.0
casks,1.0
cassis,7.0
cast,1.0
castello,0.0
castelão,-3.0
casual,-1.0
cat,0.0
catapulted,0.0
catarratto,0.0
catawba,-1.0
catch,-4.0
category,-5.0
cates,0.0
catty,0.0
caught,-1.0
cause,0.0
causes,-2.0
cava,1.0
cavalcade,3.0
cave,0.0
cayuse,1.0
cedar,2.0
cedary,2.0
celebrate,3.0
celebrated,1.0
celebrates,0.0
celebrating,2.0
celebration,1.0
celery,0.0
celilo,0.0
cellar,9.0
cellarable,0.0
cellared,2.0
cellaring,7.0
cellars,0.0
cellarworthy,0.0
cement,2.0
center,4.0
centered,0.0
centers,0.0
central,2.0
centuries,-1.0
century,1.0
cerebral,0.0
cerequio,0.0
certain,0.0
certainly,4.0
certified,-2.0
cesare,0.0
ceviche,-1.0
chablis,1.0
chablisienne,0.0
chai,3.0
chalk,3.0
chalkiness,0.0
chalky,4.0
challen,0.0
challenge,1.0
challenged,0.0
challenges,1.0
challenging,0.0
chambertin,0.0
chambolle,0.0
chambourcin,-2.0
chamomile,2.0
champagne,9.0
champagnes,7.0
champenoise,0.0
champoux,1.0
chance,4.0
chandon,0.0
change,0.0
changed,1.0
changes,1.0
changing,0.0
chanin,1.0
chanson,1.0
chaparral,2.0
char,-1.0
character,0.0
characterful,0.0
characteristic,3.0
characteristically,-1.0
characteristics,1.0
characterize,-5.0
characterized,0.0
characterizes,1.0
characters,0.0
charcoal,0.0
charcuterie,3.0
chard,-6.0
chardonnay,0.0
chardonnays,4.0
chardonnnay,0.0
chardophiles,-1.0
chards,0.0
charge,-1.0
charitably,0.0
charity,0.0
charlemagne,2.0
charles,1.0
charm,0.0
charmat,0.0
charmer,2.0
charming,-3.0
charmless,0.0
charms,0.0
charred,4.0
chase,0.0
chassagne,0.0
chateau,1.0
chaume,0.0
cheap,5.0
cheaper,0.0
check,2.0
cheek,0.0
cheeked,2.0
cheeks,-2.0
cheeky,0.0
cheer,0.0
cheerful,-1.0
cheese,-3.0
cheeseburger,0.0
cheeseburgers,0.0
cheesecake,1.0
cheeses,-6.0
cheesy,-2.0
chef,0.0
chehalem,1.0
chemical,-1.0
chemicals,0.0
chemise,0.0
chenin,0.0
chenoweth,0.0
cherimoya,1.0
cherried,0.0
cherries,2.0
cherry,0.0
chervil,0.0
chestnut,2.0
cheval,1.0
chewiness,0.0
chewing,0.0
chewy,0.0
chianti,-1.0
chiaretto,-2.0
chicken,-2.0
chicory,0.0
chief,0.0
chiffon,0.0
child,0.0
children,1.0
chile,-1.0
chilean,-2.0
chiles,0.0
chili,-2.0
chill,1.0
chilled,-5.0
chilling,-1.0
chilly,-1.0
chime,0.0
chimney,0.0
chinese,1.0
chip,2.0
chipped,2.0
chips,0.0
chiseled,0.0
chive,1.0
chives,1.0
chlorine,0.0
chlorophyll,0.0
chock,0.0
chocolate,7.0
chocolatey,1.0
chocolaty,4.0
choice,-9.0
chop,1.0
chopped,6.0
choppy,-3.0
chops,0.0
chord,0.0
chorus,0.0
chosen,0.0
chris,2.0
christian,0.0
christmas,4.0
christophe,0.0
chryseia,0.0
chuck,0.0
chunks,0.0
chunky,-1.0
church,-1.0
churned,0.0
chute,0.0
château,5.0
châteauneuf,1.0
cider,-4.0
cidery,0.0
ciel,2.0
cigar,7.0
cigarbox,-1.0
cigarette,-2.0
cinnamon,8.0
cinsault,4.0
cinsaut,0.0
citric,2.0
citron,0.0
citrus,2.0
citrusy,3.0
city,-1.0
clacky,-1.0
claim,0.0
claims,0.0
clairet,0.0
clairette,0.0
clamp,0.0
clamping,0.0
clampy,-2.0
clare,0.0
claret,-1.0
clarified,2.0
clarion,0.0
clarity,-1.0
clarke,0.0
clarksburg,0.0
clash,0.0
class,2.0
classed,1.0
classic,10.0
classical,0.0
classically,1.0
classico,-1.0
classics,0.0
classified,0.0
classy,11.0
classé,0.0
clay,-4.0
clean,-1.0
cleaner,-1.0
cleaning,-1.0
cleanliness,0.0
cleanly,-1.0
cleanness,0.0
cleans,0.0
cleanser,-1.0
cleanses,1.0
cleansing,-2.0
clear,9.0
clearly,4.0
clementine,-1.0
clendenen,1.0
clerc,1.0
click,0.0
clicking,0.0
cliff,0.0
clifton,0.0
climat,0.0
climate,2.0
cline,0.0
cling,0.0
clinging,0.0
clings,0.0
clingy,0.0
clipped,0.0
cloak,0.0
cloaked,0.0
clocking,0.0
clocks,0.0
clonal,1.0
clone,4.0
clones,3.0
clos,0.0
close,-3.0
closed,5.0
closely,0.0
closer,1.0
closes,-1.0
closest,2.0
closing,1.0
clotted,0.0
cloud,0.0
clouds,1.0
cloudy,4.0
clove,3.0
clover,3.0
cloves,1.0
cloying,-5.0
cloyingly,0.0
club,-2.0
clumsy,-2.0
clunky,-1.0
cluster,8.0
clusters,0.0
coal,0.0
coalesce,0.0
coalesces,0.0
coarse,-3.0
coast,-2.0
coastal,-1.0
coat,4.0
coated,1.0
coating,1.0
coats,2.0
coax,0.0
coaxed,0.0
coaxes,0.0
coaxing,0.0
cobbler,0.0
cobos,1.0
cocktail,-4.0
cocktails,-2.0
cocoa,1.0
coconut,1.0
cofermented,1.0
coffee,3.0
cognac,0.0
cogno,0.0
cohesion,0.0
cohesive,1.0
coiled,4.0
cola,5.0
cold,-1.0
colheita,1.0
colin,0.0
collaboration,0.0
collapses,0.0
collapsing,0.0
collection,0.0
collectors,0.0
collide,0.0
collines,0.0
colombard,-1.0
colombo,2.0
color,-4.0
colored,-8.0
colorino,0.0
colors,1.0
columbia,0.0
combed,1.0
combination,4.0
combine,6.0
combined,0.0
combines,7.0
combining,2.0
combo,0.0
come,2.0
comes,-1.0
comfort,0.0
comfortable,4.0
comfortably,2.0
comforting,0.0
comice,0.0
coming,5.0
command,1.0
commanding,0.0
commands,2.0
commendable,0.0
commercial,0.0
commingle,0.0
commingling,1.0
common,-1.0
compact,4.0
companion,1.0
companions,0.0
company,-1.0
comparable,1.0
comparatively,-1.0
compared,2.0
comparison,0.0
compelling,9.0
compellingly,2.0
compensate,-1.0
compete,0.0
competent,0.0
competes,1.0
competing,0.0
competition,0.0
complain,1.0
complement,-5.0
complementary,4.0
complemented,2.0
complementing,0.0
complements,3.0
complete,6.0
completely,-1.0
completeness,0.0
completes,1.0
complex,14.0
complexed,0.0
complexities,2.0
complexity,7.0
complicated,-1.0
complications,4.0
compliment,0.0
component,2.0
components,-1.0
compose,1.0
composed,0.0
composition,3.0
compost,0.0
composted,1.0
composting,0.0
composure,0.0
compote,4.0
compound,2.0
compounded,0.0
compressed,0.0
comprise,0.0
comprised,6.0
comprises,1.0
compromise,0.0
compromised,0.0
compromising,-3.0
compulsively,0.0
compôte,2.0
conca,-1.0
conceal,2.0
concealed,0.0
concentrate,2.0
concentrated,14.0
concentrating,0.0
concentration,11.0
concept,0.0
concerned,0.0
concerns,0.0
concoction,0.0
concord,0.0
concrete,0.0
condensed,0.0
condition,0.0
conditions,1.0
condrieu,1.0
confected,-6.0
confection,-3.0
confectionary,0.0
confectioner,0.0
confectionery,0.0
conference,1.0
confidence,0.0
confident,0.0
confidently,0.0
confirm,1.0
confirmed,0.0
confirms,-2.0
conflict,0.0
confuse,0.0
confused,0.0
confusing,0.0
conifer,0.0
conjure,4.0
conjures,1.0
connection,0.0
conner,1.0
connoisseurs,1.0
consider,0.0
considerable,2.0
considerably,0.0
considered,-2.0
considering,0.0
consistency,0.0
consistent,-2.0
consistently,2.0
consisting,0.0
consists,-1.0
constant,0.0
constantly,3.0
constitute,0.0
constituted,0.0
constitutes,0.0
constitution,0.0
constructed,0.0
construction,0.0
consultant,-2.0
consulting,-1.0
consume,0.0
consumed,1.0
consumer,0.0
consumers,0.0
consumption,-2.0
contact,0.0
contain,1.0
contained,0.0
containing,0.0
contains,3.0
contemplate,0.0
contemplation,0.0
contender,-1.0
content,-2.0
context,3.0
conti,0.0
continually,1.0
continuation,-1.0
continue,6.0
continued,-5.0
continues,5.0
continuing,0.0
continuously,0.0
contoured,0.0
contradiction,0.0
contradictions,0.0
contrast,-2.0
contrasted,0.0
contrasting,-4.0
contrasts,3.0
contribute,2.0
contributed,0.0
contributes,3.0
contributing,-2.0
contribution,-2.0
control,3.0
controlled,1.0
controls,0.0
controversial,2.0
converge,1.0
conversely,0.0
convey,0.0
conveying,0.0
conveys,-3.0
convince,0.0
convinces,0.0
convincing,1.0
convincingly,0.0
conwill,0.0
cooked,-4.0
cookie,6.0
cookies,-1.0
cooking,1.0
cool,2.0
cooler,-4.0
coolest,1.0
cooling,0.0
coolness,0.0
coombsville,0.0
cooperative,0.0
copious,0.0
copper,0.0
coppery,0.0
coral,0.0
cordial,0.0
core,2.0
coriander,3.0
cork,2.0
corn,-2.0
cornas,3.0
corner,0.0
corners,0.0
cornucopia,-2.0
corny,0.0
corpulent,0.0
corralitos,2.0
correct,2.0
corseted,0.0
corton,2.0
corvina,0.0
cos,2.0
cost,1.0
costa,-1.0
coste,0.0
costing,2.0
costs,-2.0
cotton,1.0
cough,-4.0
could,-2.0
coulis,-3.0
counoise,2.0
count,-2.0
counted,1.0
counter,0.0
counterbalance,0.0
countered,-1.0
counterparts,0.0
counterpoint,2.0
counterpoints,0.0
counters,0.0
counterweight,1.0
counties,0.0
countless,0.0
country,-6.0
county,1.0
couple,0.0
coupled,1.0
course,1.0
court,0.0
courtesy,-1.0
cousin,0.0
cover,0.0
covered,1.0
covering,0.0
covers,0.0
coveted,0.0
cox,2.0
coy,0.0
coyote,0.0
crab,2.0
cracked,7.0
cracker,4.0
crackers,-2.0
cradled,0.0
cradling,0.0
craft,1.0
crafted,5.0
crafting,0.0
craftsmanship,1.0
craggy,-1.0
cramant,0.0
cran,0.0
cranberries,1.0
cranberry,3.0
crane,0.0
crave,0.0
craving,0.0
crazy,1.0
cream,2.0
creamed,0.0
creaminess,4.0
creamsicle,0.0
creamy,1.0
create,0.0
created,1.0
creates,-3.0
creating,0.0
creation,0.0
creative,-1.0
credit,0.0
creek,0.0
creep,2.0
creeps,0.0
creme,0.0
creosote,0.0
crescendo,1.0
crest,0.0
crianza,0.0
cries,0.0
crimson,0.0
crisp,-2.0
crisper,2.0
crispest,1.0
crisply,4.0
crispness,1.0
crispy,0.0
cristal,0.0
cristiano,0.0
croatian,0.0
croissant,0.0
crop,-1.0
cropped,0.0
cross,-1.0
crosses,-2.0
