term_str,bing_positive,bing_negative,bing_sentiment
deception,0,1,-1
deceptive,0,1,-1
deceptively,0,1,-1
decisive,1,0,1
decisiveness,1,0,1
declaim,0,1,-1
decline,0,1,-1
declines,0,1,-1
declining,0,1,-1
decrement,0,1,-1
decrepit,0,1,-1
decrepitude,0,1,-1
decry,0,1,-1
dedicated,1,0,1
defamation,0,1,-1
defamations,0,1,-1
defamatory,0,1,-1
defame,0,1,-1
defeat,1,0,1
defeated,1,0,1
defeating,1,0,1
defeats,1,0,1
defect,0,1,-1
defective,0,1,-1
defects,0,1,-1
defender,1,0,1
defensive,0,1,-1
deference,1,0,1
defiance,0,1,-1
defiant,0,1,-1
defiantly,0,1,-1
deficiencies,0,1,-1
deficiency,0,1,-1
deficient,0,1,-1
defile,0,1,-1
defiler,0,1,-1
deform,0,1,-1
deformed,0,1,-1
defrauding,0,1,-1
deft,1,0,1
defunct,0,1,-1
defy,0,1,-1
degenerate,0,1,-1
degenerately,0,1,-1
degeneration,0,1,-1
deginified,1,0,1
degradation,0,1,-1
degrade,0,1,-1
degrading,0,1,-1
degradingly,0,1,-1
dehumanization,0,1,-1
dehumanize,0,1,-1
deign,0,1,-1
deject,0,1,-1
dejected,0,1,-1
dejectedly,0,1,-1
dejection,0,1,-1
delay,0,1,-1
delayed,0,1,-1
delaying,0,1,-1
delays,0,1,-1
delectable,1,0,1
delicacy,1,0,1
delicate,1,0,1
delicious,1,0,1
delight,1,0,1
delighted,1,0,1
delightful,1,0,1
delightfully,1,0,1
delightfulness,1,0,1
delinquency,0,1,-1
delinquent,0,1,-1
delirious,0,1,-1
delirium,0,1,-1
delude,0,1,-1
deluded,0,1,-1
deluge,0,1,-1
delusion,0,1,-1
delusional,0,1,-1
delusions,0,1,-1
demean,0,1,-1
demeaning,0,1,-1
demise,0,1,-1
demolish,0,1,-1
demolisher,0,1,-1
demon,0,1,-1
demonic,0,1,-1
demonize,0,1,-1
demonized,0,1,-1
demonizes,0,1,-1
demonizing,0,1,-1
demoralize,0,1,-1
demoralizing,0,1,-1
demoralizingly,0,1,-1
denial,0,1,-1
denied,0,1,-1
denies,0,1,-1
denigrate,0,1,-1
denounce,0,1,-1
dense,0,1,-1
dent,0,1,-1
dented,0,1,-1
dents,0,1,-1
denunciate,0,1,-1
denunciation,0,1,-1
denunciations,0,1,-1
deny,0,1,-1
denying,0,1,-1
dependable,1,0,1
dependably,1,0,1
deplete,0,1,-1
deplorable,0,1,-1
deplorably,0,1,-1
deplore,0,1,-1
deploring,0,1,-1
deploringly,0,1,-1
deprave,0,1,-1
depraved,0,1,-1
depravedly,0,1,-1
deprecate,0,1,-1
depress,0,1,-1
depressed,0,1,-1
depressing,0,1,-1
depressingly,0,1,-1
depression,0,1,-1
depressions,0,1,-1
deprive,0,1,-1
deprived,0,1,-1
deride,0,1,-1
derision,0,1,-1
derisive,0,1,-1
derisively,0,1,-1
derisiveness,0,1,-1
derogatory,0,1,-1
desecrate,0,1,-1
desert,0,1,-1
desertion,0,1,-1
deservedly,1,0,1
deserving,1,0,1
desiccate,0,1,-1
desiccated,0,1,-1
desirable,1,0,1
desiring,1,0,1
desirous,1,0,1
desititute,0,1,-1
desolate,0,1,-1
desolately,0,1,-1
desolation,0,1,-1
despair,0,1,-1
despairing,0,1,-1
despairingly,0,1,-1
desperate,0,1,-1
desperately,0,1,-1
desperation,0,1,-1
despicable,0,1,-1
despicably,0,1,-1
despise,0,1,-1
despised,0,1,-1
despoil,0,1,-1
despoiler,0,1,-1
despondence,0,1,-1
despondency,0,1,-1
despondent,0,1,-1
despondently,0,1,-1
despot,0,1,-1
despotic,0,1,-1
despotism,0,1,-1
destabilisation,0,1,-1
destains,0,1,-1
destiny,1,0,1
destitute,0,1,-1
destitution,0,1,-1
destroy,0,1,-1
destroyer,0,1,-1
destruction,0,1,-1
destructive,0,1,-1
desultory,0,1,-1
detachable,1,0,1
deter,0,1,-1
deteriorate,0,1,-1
deteriorating,0,1,-1
deterioration,0,1,-1
deterrent,0,1,-1
detest,0,1,-1
detestable,0,1,-1
detestably,0,1,-1
detested,0,1,-1
detesting,0,1,-1
detests,0,1,-1
detract,0,1,-1
detracted,0,1,-1
detracting,0,1,-1
detraction,0,1,-1
detracts,0,1,-1
detriment,0,1,-1
detrimental,0,1,-1
devastate,0,1,-1
devastated,0,1,-1
devastates,0,1,-1
devastating,0,1,-1
devastatingly,0,1,-1
devastation,0,1,-1
deviate,0,1,-1
deviation,0,1,-1
devil,0,1,-1
devilish,0,1,-1
devilishly,0,1,-1
devilment,0,1,-1
devilry,0,1,-1
devious,0,1,-1
deviously,0,1,-1
deviousness,0,1,-1
devoid,0,1,-1
devout,1,0,1
dexterous,1,0,1
dexterously,1,0,1
dextrous,1,0,1
diabolic,0,1,-1
diabolical,0,1,-1
diabolically,0,1,-1
diametrically,0,1,-1
diappointed,0,1,-1
diatribe,0,1,-1
diatribes,0,1,-1
dick,0,1,-1
dictator,0,1,-1
dictatorial,0,1,-1
die,0,1,-1
die-hard,0,1,-1
died,0,1,-1
dies,0,1,-1
difficult,0,1,-1
difficulties,0,1,-1
difficulty,0,1,-1
diffidence,0,1,-1
dignified,1,0,1
dignify,1,0,1
dignity,1,0,1
dilapidated,0,1,-1
dilemma,0,1,-1
diligence,1,0,1
diligent,1,0,1
diligently,1,0,1
dilly-dally,0,1,-1
dim,0,1,-1
dimmer,0,1,-1
din,0,1,-1
ding,0,1,-1
dings,0,1,-1
dinky,0,1,-1
diplomatic,1,0,1
dire,0,1,-1
direly,0,1,-1
direness,0,1,-1
dirt,0,1,-1
dirt-cheap,1,0,1
dirtbag,0,1,-1
dirtbags,0,1,-1
dirts,0,1,-1
dirty,0,1,-1
disable,0,1,-1
disabled,0,1,-1
disaccord,0,1,-1
disadvantage,0,1,-1
disadvantaged,0,1,-1
disadvantageous,0,1,-1
disadvantages,0,1,-1
disaffect,0,1,-1
disaffected,0,1,-1
disaffirm,0,1,-1
disagree,0,1,-1
disagreeable,0,1,-1
disagreeably,0,1,-1
disagreed,0,1,-1
disagreeing,0,1,-1
disagreement,0,1,-1
disagrees,0,1,-1
disallow,0,1,-1
disapointed,0,1,-1
disapointing,0,1,-1
disapointment,0,1,-1
disappoint,0,1,-1
disappointed,0,1,-1
disappointing,0,1,-1
disappointingly,0,1,-1
disappointment,0,1,-1
disappointments,0,1,-1
disappoints,0,1,-1
disapprobation,0,1,-1
disapproval,0,1,-1
disapprove,0,1,-1
disapproving,0,1,-1
disarm,0,1,-1
disarray,0,1,-1
disaster,0,1,-1
disasterous,0,1,-1
disastrous,0,1,-1
disastrously,0,1,-1
disavow,0,1,-1
disavowal,0,1,-1
disbelief,0,1,-1
disbelieve,0,1,-1
disbeliever,0,1,-1
disclaim,0,1,-1
discombobulate,0,1,-1
discomfit,0,1,-1
discomfititure,0,1,-1
discomfort,0,1,-1
discompose,0,1,-1
disconcert,0,1,-1
disconcerted,0,1,-1
disconcerting,0,1,-1
disconcertingly,0,1,-1
disconsolate,0,1,-1
disconsolately,0,1,-1
disconsolation,0,1,-1
discontent,0,1,-1
discontented,0,1,-1
discontentedly,0,1,-1
discontinued,0,1,-1
discontinuity,0,1,-1
discontinuous,0,1,-1
discord,0,1,-1
discordance,0,1,-1
discordant,0,1,-1
discountenance,0,1,-1
discourage,0,1,-1
discouragement,0,1,-1
discouraging,0,1,-1
discouragingly,0,1,-1
discourteous,0,1,-1
discourteously,0,1,-1
discoutinous,0,1,-1
discredit,0,1,-1
discrepant,0,1,-1
discriminate,0,1,-1
discrimination,0,1,-1
discriminatory,0,1,-1
disdain,0,1,-1
disdained,0,1,-1
disdainful,0,1,-1
disdainfully,0,1,-1
disfavor,0,1,-1
disgrace,0,1,-1
disgraced,0,1,-1
disgraceful,0,1,-1
disgracefully,0,1,-1
disgruntle,0,1,-1
disgruntled,0,1,-1
disgust,0,1,-1
disgusted,0,1,-1
disgustedly,0,1,-1
disgustful,0,1,-1
disgustfully,0,1,-1
disgusting,0,1,-1
disgustingly,0,1,-1
dishearten,0,1,-1
disheartening,0,1,-1
dishearteningly,0,1,-1
dishonest,0,1,-1
dishonestly,0,1,-1
dishonesty,0,1,-1
dishonor,0,1,-1
dishonorable,0,1,-1
dishonorablely,0,1,-1
disillusion,0,1,-1
disillusioned,0,1,-1
disillusionment,0,1,-1
disillusions,0,1,-1
disinclination,0,1,-1
disinclined,0,1,-1
disingenuous,0,1,-1
disingenuously,0,1,-1
disintegrate,0,1,-1
disintegrated,0,1,-1
disintegrates,0,1,-1
disintegration,0,1,-1
disinterest,0,1,-1
disinterested,0,1,-1
dislike,0,1,-1
disliked,0,1,-1
dislikes,0,1,-1
disliking,0,1,-1
dislocated,0,1,-1
disloyal,0,1,-1
disloyalty,0,1,-1
dismal,0,1,-1
dismally,0,1,-1
dismalness,0,1,-1
dismay,0,1,-1
dismayed,0,1,-1
dismaying,0,1,-1
dismayingly,0,1,-1
dismissive,0,1,-1
dismissively,0,1,-1
disobedience,0,1,-1
disobedient,0,1,-1
disobey,0,1,-1
disoobedient,0,1,-1
disorder,0,1,-1
disordered,0,1,-1
disorderly,0,1,-1
disorganized,0,1,-1
disorient,0,1,-1
disoriented,0,1,-1
disown,0,1,-1
disparage,0,1,-1
disparaging,0,1,-1
disparagingly,0,1,-1
dispensable,0,1,-1
dispirit,0,1,-1
dispirited,0,1,-1
dispiritedly,0,1,-1
dispiriting,0,1,-1
displace,0,1,-1
displaced,0,1,-1
displease,0,1,-1
displeased,0,1,-1
displeasing,0,1,-1
displeasure,0,1,-1
disproportionate,0,1,-1
disprove,0,1,-1
disputable,0,1,-1
dispute,0,1,-1
disputed,0,1,-1
disquiet,0,1,-1
disquieting,0,1,-1
disquietingly,0,1,-1
disquietude,0,1,-1
disregard,0,1,-1
disregardful,0,1,-1
disreputable,0,1,-1
disrepute,0,1,-1
disrespect,0,1,-1
disrespectable,0,1,-1
disrespectablity,0,1,-1
disrespectful,0,1,-1
disrespectfully,0,1,-1
disrespectfulness,0,1,-1
disrespecting,0,1,-1
disrupt,0,1,-1
disruption,0,1,-1
disruptive,0,1,-1
diss,0,1,-1
dissapointed,0,1,-1
dissappointed,0,1,-1
dissappointing,0,1,-1
dissatisfaction,0,1,-1
dissatisfactory,0,1,-1
dissatisfied,0,1,-1
dissatisfies,0,1,-1
dissatisfy,0,1,-1
dissatisfying,0,1,-1
dissed,0,1,-1
dissemble,0,1,-1
dissembler,0,1,-1
dissension,0,1,-1
dissent,0,1,-1
dissenter,0,1,-1
dissention,0,1,-1
disservice,0,1,-1
disses,0,1,-1
dissidence,0,1,-1
dissident,0,1,-1
dissidents,0,1,-1
dissing,0,1,-1
dissocial,0,1,-1
dissolute,0,1,-1
dissolution,0,1,-1
dissonance,0,1,-1
dissonant,0,1,-1
dissonantly,0,1,-1
dissuade,0,1,-1
dissuasive,0,1,-1
distains,0,1,-1
distaste,0,1,-1
distasteful,0,1,-1
distastefully,0,1,-1
distinction,1,0,1
distinctive,1,0,1
distinguished,1,0,1
distort,0,1,-1
distorted,0,1,-1
distortion,0,1,-1
distorts,0,1,-1
distract,0,1,-1
distracting,0,1,-1
distraction,0,1,-1
distraught,0,1,-1
distraughtly,0,1,-1
distraughtness,0,1,-1
distress,0,1,-1
distressed,0,1,-1
distressing,0,1,-1
distressingly,0,1,-1
distrust,0,1,-1
distrustful,0,1,-1
distrusting,0,1,-1
disturb,0,1,-1
disturbance,0,1,-1
disturbed,0,1,-1
disturbing,0,1,-1
disturbingly,0,1,-1
disunity,0,1,-1
disvalue,0,1,-1
divergent,0,1,-1
diversified,1,0,1
divine,1,0,1
divinely,1,0,1
divisive,0,1,-1
divisively,0,1,-1
divisiveness,0,1,-1
dizzing,0,1,-1
dizzingly,0,1,-1
dizzy,0,1,-1
doddering,0,1,-1
dodgey,0,1,-1
dogged,0,1,-1
doggedly,0,1,-1
dogmatic,0,1,-1
doldrums,0,1,-1
dominate,1,0,1
dominated,1,0,1
dominates,1,0,1
domineer,0,1,-1
domineering,0,1,-1
donside,0,1,-1
doom,0,1,-1
doomed,0,1,-1
doomsday,0,1,-1
dope,0,1,-1
dote,1,0,1
dotingly,1,0,1
doubt,0,1,-1
doubtful,0,1,-1
doubtfully,0,1,-1
doubtless,1,0,1
doubts,0,1,-1
douchbag,0,1,-1
douchebag,0,1,-1
douchebags,0,1,-1
downbeat,0,1,-1
downcast,0,1,-1
downer,0,1,-1
downfall,0,1,-1
downfallen,0,1,-1
downgrade,0,1,-1
downhearted,0,1,-1
downheartedly,0,1,-1
downhill,0,1,-1
downside,0,1,-1
downsides,0,1,-1
downturn,0,1,-1
downturns,0,1,-1
drab,0,1,-1
draconian,0,1,-1
draconic,0,1,-1
drag,0,1,-1
dragged,0,1,-1
dragging,0,1,-1
dragoon,0,1,-1
drags,0,1,-1
drain,0,1,-1
drained,0,1,-1
draining,0,1,-1
drains,0,1,-1
drastic,0,1,-1
drastically,0,1,-1
drawback,0,1,-1
drawbacks,0,1,-1
dread,0,1,-1
dreadful,0,1,-1
dreadfully,0,1,-1
dreadfulness,0,1,-1
dreamland,1,0,1
dreary,0,1,-1
dripped,0,1,-1
dripping,0,1,-1
drippy,0,1,-1
drips,0,1,-1
drones,0,1,-1
droop,0,1,-1
droops,0,1,-1
drop-out,0,1,-1
drop-outs,0,1,-1
dropout,0,1,-1
dropouts,0,1,-1
drought,0,1,-1
drowning,0,1,-1
drunk,0,1,-1
drunkard,0,1,-1
drunken,0,1,-1
dubious,0,1,-1
dubiously,0,1,-1
dubitable,0,1,-1
dud,0,1,-1
dull,0,1,-1
dullard,0,1,-1
dumb,0,1,-1
dumbfound,0,1,-1
dumbfounded,1,0,1
dumbfounding,1,0,1
dummy-proof,1,0,1
dump,0,1,-1
dumped,0,1,-1
dumping,0,1,-1
dumps,0,1,-1
dunce,0,1,-1
dungeon,0,1,-1
dungeons,0,1,-1
dupe,0,1,-1
durable,1,0,1
dust,0,1,-1
dusty,0,1,-1
dwindling,0,1,-1
dying,0,1,-1
dynamic,1,0,1
eager,1,0,1
eagerly,1,0,1
eagerness,1,0,1
earnest,1,0,1
earnestly,1,0,1
earnestness,1,0,1
earsplitting,0,1,-1
ease,1,0,1
eased,1,0,1
eases,1,0,1
easier,1,0,1
easiest,1,0,1
easiness,1,0,1
easing,1,0,1
easy,1,0,1
easy-to-use,1,0,1
easygoing,1,0,1
ebullience,1,0,1
ebullient,1,0,1
ebulliently,1,0,1
eccentric,0,1,-1
eccentricity,0,1,-1
ecenomical,1,0,1
economical,1,0,1
ecstasies,1,0,1
ecstasy,1,0,1
ecstatic,1,0,1
ecstatically,1,0,1
edify,1,0,1
educated,1,0,1
effective,1,0,1
effectively,1,0,1
effectiveness,1,0,1
effectual,1,0,1
efficacious,1,0,1
efficient,1,0,1
efficiently,1,0,1
effigy,0,1,-1
effortless,1,0,1
effortlessly,1,0,1
effrontery,0,1,-1
effusion,1,0,1
effusive,1,0,1
effusively,1,0,1
effusiveness,1,0,1
egocentric,0,1,-1
egomania,0,1,-1
egotism,0,1,-1
egotistical,0,1,-1
egotistically,0,1,-1
egregious,0,1,-1
egregiously,0,1,-1
elan,1,0,1
elate,1,0,1
elated,1,0,1
elatedly,1,0,1
elation,1,0,1
election-rigger,0,1,-1
electrify,1,0,1
elegance,1,0,1
elegant,1,0,1
elegantly,1,0,1
elevate,1,0,1
elimination,0,1,-1
elite,1,0,1
eloquence,1,0,1
eloquent,1,0,1
eloquently,1,0,1
emaciated,0,1,-1
emasculate,0,1,-1
embarrass,0,1,-1
embarrassing,0,1,-1
embarrassingly,0,1,-1
embarrassment,0,1,-1
embattled,0,1,-1
embolden,1,0,1
embroil,0,1,-1
embroiled,0,1,-1
embroilment,0,1,-1
emergency,0,1,-1
eminence,1,0,1
eminent,1,0,1
empathize,1,0,1
empathy,1,0,1
emphatic,0,1,-1
emphatically,0,1,-1
empower,1,0,1
empowerment,1,0,1
emptiness,0,1,-1
enchant,1,0,1
enchanted,1,0,1
enchanting,1,0,1
enchantingly,1,0,1
encourage,1,0,1
encouragement,1,0,1
encouraging,1,0,1
encouragingly,1,0,1
encroach,0,1,-1
encroachment,0,1,-1
endanger,0,1,-1
endear,1,0,1
endearing,1,0,1
endorse,1,0,1
endorsed,1,0,1
endorsement,1,0,1
endorses,1,0,1
endorsing,1,0,1
enemies,0,1,-1
enemy,0,1,-1
energetic,1,0,1
energize,1,0,1
energy-efficient,1,0,1
energy-saving,1,0,1
enervate,0,1,-1
enfeeble,0,1,-1
enflame,0,1,-1
engaging,1,0,1
engrossing,1,0,1
engulf,0,1,-1
enhance,1,0,1
enhanced,1,0,1
enhancement,1,0,1
enhances,1,0,1
enjoin,0,1,-1
enjoy,1,0,1
enjoyable,1,0,1
enjoyably,1,0,1
enjoyed,1,0,1
enjoying,1,0,1
enjoyment,1,0,1
enjoys,1,0,1
enlighten,1,0,1
enlightenment,1,0,1
enliven,1,0,1
enmity,0,1,-1
ennoble,1,0,1
enough,1,0,1
enrage,0,1,-1
enraged,0,1,-1
enraging,0,1,-1
enrapt,1,0,1
enrapture,1,0,1
enraptured,1,0,1
enrich,1,0,1
enrichment,1,0,1
enslave,0,1,-1
entangle,0,1,-1
entanglement,0,1,-1
enterprising,1,0,1
entertain,1,0,1
entertaining,1,0,1
entertains,1,0,1
enthral,1,0,1
enthrall,1,0,1
enthralled,1,0,1
enthuse,1,0,1
enthusiasm,1,0,1
enthusiast,1,0,1
enthusiastic,1,0,1
enthusiastically,1,0,1
entice,1,0,1
enticed,1,0,1
enticing,1,0,1
enticingly,1,0,1
entranced,1,0,1
entrancing,1,0,1
entrap,0,1,-1
entrapment,0,1,-1
entrust,1,0,1
enviable,1,0,1
enviably,1,0,1
envious,0,1,-1
enviously,0,1,-1
enviousness,0,1,-1
envy,1,0,1
epidemic,0,1,-1
equitable,1,0,1
equivocal,0,1,-1
erase,0,1,-1
ergonomical,1,0,1
erode,0,1,-1
erodes,0,1,-1
erosion,0,1,-1
err,0,1,-1
err-free,1,0,1
errant,0,1,-1
erratic,0,1,-1
erratically,0,1,-1
erroneous,0,1,-1
erroneously,0,1,-1
error,0,1,-1
errors,0,1,-1
erudite,1,0,1
eruptions,0,1,-1
escapade,0,1,-1
eschew,0,1,-1
estranged,0,1,-1
ethical,1,0,1
eulogize,1,0,1
euphoria,1,0,1
euphoric,1,0,1
euphorically,1,0,1
evade,0,1,-1
evaluative,1,0,1
evasion,0,1,-1
evasive,0,1,-1
evenly,1,0,1
eventful,1,0,1
everlasting,1,0,1
evil,0,1,-1
evildoer,0,1,-1
evils,0,1,-1
eviscerate,0,1,-1
evocative,1,0,1
exacerbate,0,1,-1
exagerate,0,1,-1
exagerated,0,1,-1
exagerates,0,1,-1
exaggerate,0,1,-1
exaggeration,0,1,-1
exalt,1,0,1
exaltation,1,0,1
exalted,1,0,1
exaltedly,1,0,1
exalting,1,0,1
exaltingly,1,0,1
examplar,1,0,1
examplary,1,0,1
exasperate,0,1,-1
exasperated,0,1,-1
exasperating,0,1,-1
exasperatingly,0,1,-1
exasperation,0,1,-1
excallent,1,0,1
exceed,1,0,1
exceeded,1,0,1
exceeding,1,0,1
exceedingly,1,0,1
exceeds,1,0,1
excel,1,0,1
exceled,1,0,1
excelent,1,0,1
excellant,1,0,1
excelled,1,0,1
excellence,1,0,1
excellency,1,0,1
excellent,1,0,1
excellently,1,0,1
excels,1,0,1
exceptional,1,0,1
exceptionally,1,0,1
excessive,0,1,-1
excessively,0,1,-1
excite,1,0,1
excited,1,0,1
excitedly,1,0,1
excitedness,1,0,1
excitement,1,0,1
excites,1,0,1
exciting,1,0,1
excitingly,1,0,1
exclusion,0,1,-1
excoriate,0,1,-1
excruciating,0,1,-1
excruciatingly,0,1,-1
excuse,0,1,-1
excuses,0,1,-1
execrate,0,1,-1
exellent,1,0,1
exemplar,1,0,1
exemplary,1,0,1
exhaust,0,1,-1
exhausted,0,1,-1
exhaustion,0,1,-1
exhausts,0,1,-1
exhilarate,1,0,1
exhilarating,1,0,1
exhilaratingly,1,0,1
exhilaration,1,0,1
exhorbitant,0,1,-1
exhort,0,1,-1
exile,0,1,-1
exonerate,1,0,1
exorbitant,0,1,-1
exorbitantance,0,1,-1
exorbitantly,0,1,-1
expansive,1,0,1
expeditiously,1,0,1
expel,0,1,-1
expensive,0,1,-1
expertly,1,0,1
expire,0,1,-1
expired,0,1,-1
explode,0,1,-1
exploit,0,1,-1
exploitation,0,1,-1
explosive,0,1,-1
expropriate,0,1,-1
expropriation,0,1,-1
expulse,0,1,-1
expunge,0,1,-1
exquisite,1,0,1
exquisitely,1,0,1
exterminate,0,1,-1
extermination,0,1,-1
extinguish,0,1,-1
extol,1,0,1
extoll,1,0,1
extort,0,1,-1
extortion,0,1,-1
extraneous,0,1,-1
extraordinarily,1,0,1
extraordinary,1,0,1
extravagance,0,1,-1
extravagant,0,1,-1
extravagantly,0,1,-1
extremism,0,1,-1
extremist,0,1,-1
extremists,0,1,-1
exuberance,1,0,1
exuberant,1,0,1
exuberantly,1,0,1
exult,1,0,1
exultant,1,0,1
exultation,1,0,1
exultingly,1,0,1
eye-catch,1,0,1
eye-catching,1,0,1
eyecatch,1,0,1
eyecatching,1,0,1
eyesore,0,1,-1
f**k,0,1,-1
fabricate,0,1,-1
fabrication,0,1,-1
fabulous,1,0,1
fabulously,1,0,1
facetious,0,1,-1
facetiously,0,1,-1
facilitate,1,0,1
fail,0,1,-1
failed,0,1,-1
failing,0,1,-1
fails,0,1,-1
failure,0,1,-1
failures,0,1,-1
faint,0,1,-1
fainthearted,0,1,-1
fair,1,0,1
fairly,1,0,1
fairness,1,0,1
faith,1,0,1
faithful,1,0,1
faithfully,1,0,1
faithfulness,1,0,1
faithless,0,1,-1
fake,0,1,-1
fall,0,1,-1
fallacies,0,1,-1
fallacious,0,1,-1
fallaciously,0,1,-1
fallaciousness,0,1,-1
fallacy,0,1,-1
fallen,0,1,-1
falling,0,1,-1
fallout,0,1,-1
falls,0,1,-1
false,0,1,-1
falsehood,0,1,-1
falsely,0,1,-1
falsify,0,1,-1
falter,0,1,-1
faltered,0,1,-1
fame,1,0,1
famed,1,0,1
famine,0,1,-1
famished,0,1,-1
famous,1,0,1
famously,1,0,1
fanatic,0,1,-1
fanatical,0,1,-1
fanatically,0,1,-1
fanaticism,0,1,-1
fanatics,0,1,-1
fancier,1,0,1
fanciful,0,1,-1
fancinating,1,0,1
fancy,1,0,1
fanfare,1,0,1
fans,1,0,1
fantastic,1,0,1
fantastically,1,0,1
far-fetched,0,1,-1
farce,0,1,-1
farcical,0,1,-1
farcical-yet-provocative,0,1,-1
farcically,0,1,-1
farfetched,0,1,-1
fascinate,1,0,1
fascinating,1,0,1
fascinatingly,1,0,1
fascination,1,0,1
fascism,0,1,-1
fascist,0,1,-1
fashionable,1,0,1
fashionably,1,0,1
fast,1,0,1
fast-growing,1,0,1
fast-paced,1,0,1
faster,1,0,1
fastest,1,0,1
fastest-growing,1,0,1
fastidious,0,1,-1
fastidiously,0,1,-1
fastuous,0,1,-1
fat,0,1,-1
fat-cat,0,1,-1
fat-cats,0,1,-1
fatal,0,1,-1
fatalistic,0,1,-1
fatalistically,0,1,-1
fatally,0,1,-1
fatcat,0,1,-1
fatcats,0,1,-1
fateful,0,1,-1
fatefully,0,1,-1
fathomless,0,1,-1
fatigue,0,1,-1
fatigued,0,1,-1
fatique,0,1,-1
fatty,0,1,-1
fatuity,0,1,-1
fatuous,0,1,-1
fatuously,0,1,-1
fault,0,1,-1
faultless,1,0,1
faults,0,1,-1
faulty,0,1,-1
fav,1,0,1
fave,1,0,1
favor,1,0,1
favorable,1,0,1
favored,1,0,1
favorite,1,0,1
favorited,1,0,1
favour,1,0,1
fawningly,0,1,-1
faze,0,1,-1
fear,0,1,-1
fearful,0,1,-1
fearfully,0,1,-1
fearless,1,0,1
fearlessly,1,0,1
fears,0,1,-1
fearsome,0,1,-1
feasible,1,0,1
feasibly,1,0,1
feat,1,0,1
feature-rich,1,0,1
fecilitous,1,0,1
feckless,0,1,-1
feeble,0,1,-1
feeblely,0,1,-1
feebleminded,0,1,-1
feign,0,1,-1
feint,0,1,-1
feisty,1,0,1
felicitate,1,0,1
felicitous,1,0,1
felicity,1,0,1
fell,0,1,-1
felon,0,1,-1
felonious,0,1,-1
ferociously,0,1,-1
ferocity,0,1,-1
fertile,1,0,1
fervent,1,0,1
fervently,1,0,1
fervid,1,0,1
fervidly,1,0,1
fervor,1,0,1
festive,1,0,1
fetid,0,1,-1
fever,0,1,-1
feverish,0,1,-1
fevers,0,1,-1
fiasco,0,1,-1
fib,0,1,-1
fibber,0,1,-1
fickle,0,1,-1
fiction,0,1,-1
fictional,0,1,-1
fictitious,0,1,-1
fidelity,1,0,1
fidget,0,1,-1
fidgety,0,1,-1
fiend,0,1,-1
fiendish,0,1,-1
fierce,0,1,-1
fiery,1,0,1
figurehead,0,1,-1
filth,0,1,-1
filthy,0,1,-1
finagle,0,1,-1
fine,1,0,1
fine-looking,1,0,1
finely,1,0,1
finer,1,0,1
finest,1,0,1
finicky,0,1,-1
firmer,1,0,1
first-class,1,0,1
first-in-class,1,0,1
first-rate,1,0,1
fissures,0,1,-1
fist,0,1,-1
flabbergast,0,1,-1
flabbergasted,0,1,-1
flagging,0,1,-1
flagrant,0,1,-1
flagrantly,0,1,-1
flair,0,1,-1
flairs,0,1,-1
flak,0,1,-1
flake,0,1,-1
flakey,0,1,-1
flakieness,0,1,-1
flaking,0,1,-1
flaky,0,1,-1
flare,0,1,-1
flares,0,1,-1
flareup,0,1,-1
flareups,0,1,-1
flashy,1,0,1
flat-out,0,1,-1
flatter,1,0,1
flattering,1,0,1
flatteringly,1,0,1
flaunt,0,1,-1
flaw,0,1,-1
flawed,0,1,-1
flawless,1,0,1
flawlessly,1,0,1
flaws,0,1,-1
flee,0,1,-1
fleed,0,1,-1
fleeing,0,1,-1
fleer,0,1,-1
flees,0,1,-1
fleeting,0,1,-1
flexibility,1,0,1
flexible,1,0,1
flicering,0,1,-1
flicker,0,1,-1
flickering,0,1,-1
flickers,0,1,-1
flighty,0,1,-1
flimflam,0,1,-1
flimsy,0,1,-1
flirt,0,1,-1
flirty,0,1,-1
floored,0,1,-1
flounder,0,1,-1
floundering,0,1,-1
flourish,1,0,1
flourishing,1,0,1
flout,0,1,-1
fluent,1,0,1
fluster,0,1,-1
flutter,1,0,1
foe,0,1,-1
fond,1,0,1
fondly,1,0,1
fondness,1,0,1
fool,0,1,-1
fooled,0,1,-1
foolhardy,0,1,-1
foolish,0,1,-1
foolishly,0,1,-1
foolishness,0,1,-1
foolproof,1,0,1
forbid,0,1,-1
forbidden,0,1,-1
forbidding,0,1,-1
forceful,0,1,-1
foreboding,0,1,-1
forebodingly,0,1,-1
foremost,1,0,1
foresight,1,0,1
forfeit,0,1,-1
forged,0,1,-1
forgetful,0,1,-1
forgetfully,0,1,-1
forgetfulness,0,1,-1
forlorn,0,1,-1
forlornly,0,1,-1
formidable,1,0,1
forsake,0,1,-1
forsaken,0,1,-1
forswear,0,1,-1
fortitude,1,0,1
fortuitous,1,0,1
fortuitously,1,0,1
fortunate,1,0,1
fortunately,1,0,1
fortune,1,0,1
foul,0,1,-1
foully,0,1,-1
foulness,0,1,-1
fractious,0,1,-1
fractiously,0,1,-1
fracture,0,1,-1
fragile,0,1,-1
fragmented,0,1,-1
fragrant,1,0,1
frail,0,1,-1
frantic,0,1,-1
frantically,0,1,-1
franticly,0,1,-1
fraud,0,1,-1
fraudulent,0,1,-1
fraught,0,1,-1
frazzle,0,1,-1
frazzled,0,1,-1
freak,0,1,-1
freaking,0,1,-1
freakish,0,1,-1
freakishly,0,1,-1
freaks,0,1,-1
free,1,0,1
freed,1,0,1
